,username,user_id,description,url_count,protected,followers_count,friends_count,user_created_at,user_favourites_count,utc_offset,geo_enabled,veified,user_statuses_count,contributors_enabled,translation_enabled,user_follows_me,user_is_friend
1861,brentferns,99170395,"Speaker, Professor, Department Chair, Molder of Minds. Interests: #Transformation, #Change, #BigData, #ArtificialIntelligence, #OnlineEducation, #Freemasonry.",NA,False,143,238,2009,109,NA,False,False,198,False,False,0,1
1862,bulkecommers,1042303333690630144,Ayush Tech Software provide a best Microsoft Outlook PST recovery tool is exquisite software for repairing your damaged OST files.,1,False,24,246,2018,52,NA,False,False,132,False,False,0,1
1863,lillianjulian99,1009705231129632768,Business Developer,1,False,470,4791,2018,665,NA,False,False,2664,False,False,0,1
1864,evelyn404700,1007212392709701632,Business Developer,1,False,478,4816,2018,2260,NA,False,False,2528,False,False,0,1
1865,phoebe_ruth215,4445587761,Post graduate student from AgroParisTech and Montpellier University. @Biodiversity @Ecology and @Evolution.,NA,False,38,144,2015,309,NA,False,False,47,False,False,0,1
1866,GregoDMarketing,947132508503715842,#DigitalMarketing #SEO #SMM #SEM #PPC #Analytics #Adwords #BingAds,NA,False,481,2108,2017,1571,NA,False,False,1145,False,False,0,1
1867,loicgarde,70661141,"People & Data. 
When the seagulls follow the trawler, it is because they think sardines will be thrown into the sea.",1,False,250,1012,2009,475,NA,False,False,571,False,False,0,1
1868,Nikiema_Franck5,927434605237620736,"Statisticien informaticien, fan de foot ⚽.",NA,False,11,164,2017,158,NA,False,False,9,False,False,1,1
1869,lyladiego695,1012268964565536768,Business Developer,1,False,481,4757,2018,1806,NA,False,False,3591,False,False,0,1
1870,BestKelsea,1052177332897755137,"PhD student in Earth and Environmental Sciences at Vanderbilt University, studying coupled human-natural systems in Bangladesh.",NA,False,76,551,2018,375,NA,False,False,50,False,False,0,1
1871,realjonag,945341407786565632,Consumer Credit Analyst. Crave for Python expertise. Tiny sense of humor. Forward-looking.,NA,False,114,195,2017,1244,NA,False,False,340,False,False,0,1
1872,DataWirePress,1053239873275158531,"Bridging the gap between cutting-edge data sets and reliable, data-driven journalism through media distribution solutions. #datajournalism #FutureofJournalism",1,False,65,1018,2018,454,NA,False,False,23,False,False,0,1
1873,AITechmeme,1031597089808109568,Blogger | #TechWorld #ArtificialIntelligence #MachineLeaning #CloudComputing #BigData #Robotics #IotT #Technology,NA,False,1545,1462,2018,16426,NA,False,False,16159,False,False,0,1
1874,maasimaslam,450450753,"#SolutionArchitect #BusinessIntelligence
#BIAnalysis #BIDevelopment #BISpecialist #BigDataAnalytics #PredictiveAnalytics",NA,False,114,536,2011,652,NA,True,False,186,False,False,0,1
1875,_datavalue,2795592950,Cabinet de conseil en management et en technologie au service de la valorisation de la donnée ! #Consulting #BigData #BusinessIntelligence #TransfoDigitale #EPM,1,False,1198,3088,2014,672,NA,False,False,1059,False,False,0,1
1876,HawatNicolas,843590098193137665,Tech - Big Data - AI - Fintech,NA,False,70,163,2017,78,NA,False,False,28,False,False,0,1
1877,RoboticsTech1,1029659846067539968,"#Automation #technology #Robotics #AI for Life, Connect with me on #Twitter for latest Updates.",NA,False,2105,2749,2018,6081,NA,False,False,6660,False,False,0,1
1878,brooklynmateo,1009739773106270208,Business Developer,1,False,394,3188,2018,2056,NA,False,False,1717,False,False,0,1
1879,Experts_In_Data,943230883,Helping Client Success Stories through all things #Data #Analytics #AI #Insights @IBMAnalytics @MSPowerBI | 01-4291977 |🇮🇪 Account Owner/Manager @ Aileen Aherne,1,False,689,3662,2012,460,NA,True,False,4304,False,False,0,1
1880,Data4I,995882344606134272,"Data Analytics and Evaluation @MicroSave - an international consulting firm working for financial,social and economic inclusion. #MSanalytiCs",1,False,135,441,2018,140,NA,False,False,109,False,False,0,1
1881,KlinkKatrin,1063389443846037504,"interested in
#HR
#Science
#Politics
#culture
#horseriding",NA,False,20,147,2018,191,NA,False,False,38,False,False,0,1
